"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1846604204917301365","Wed Oct 16 17:28:45 +0000 2024","915","Miau. Celebramos la iniciativa de reforma a la Ley Federal del Trabajo de la presidenta Claudia Sheinbaum para reconocer la relación laboral de los trabajadores de plataformas sin menoscabo en la flexibilidad y libertad que tienen ahora. Esta decisión nos llena de alegría https://t.co/QvGt4wAaei","1846604204917301365","https://pbs.twimg.com/media/GaB0vGeX0AAKd_i.jpg","","es","CDMX","21","18","201","https://x.com/GatitosVsDesig/status/1846604204917301365","1052196749522202626","GatitosVsDesig"
"1841166744276099324","Tue Oct 01 17:22:13 +0000 2024","35294","Podemos no simpatizar con Claudia Sheinbaum y su partido pero no podemos negar lo histórico de este día al tener una mujer en la presidencia.","1841166744276099324","","","es","","403","281","6771","https://x.com/BarbieOdair/status/1841166744276099324","63304266","BarbieOdair"
"1841257336658182236","Tue Oct 01 23:22:12 +0000 2024","18099","KHE? SHEINBAUM DIJO QUE VA POR LAS 40 HORAS?","1841257336658182236","","","es","México","340","421","594","https://x.com/frasalazar/status/1841257336658182236","83515575","frasalazar"
"1841536225578209749","Wed Oct 02 17:50:24 +0000 2024","26485","DANDO RESULTADOS Claudia Sheinbaum anuncia en su primer día de gobierno que todas las personas que estudiaron comunicación serán EJECUTADAS en el zócalo https://t.co/FVGc5Tp9XY","1841536225578209749","https://pbs.twimg.com/media/GY5zb8YaEAAy86v.jpg","","es","","736","357","2965","https://x.com/semanariomex/status/1841536225578209749","1422981035567026183","semanariomex"
"1841144203956408450","Tue Oct 01 15:52:39 +0000 2024","58521","Mi sueño más guajiro es que Claudia Sheinbaum se revele ante Morena y sea la mejor presidenta que hayamos podido tener y que solo le estaba siguiendo el rollo a AMLO para llegar al poder‍","1841144203956408450","","","es","Tepic, Nayarit","976","815","8479","https://x.com/DayhanaMata/status/1841144203956408450","332690924","DayhanaMata"
"1841203323157754195","Tue Oct 01 19:47:34 +0000 2024","26077","Momentos estelares de la historia. Se despide Andrés Manuel López Obrador uno de los mejores presidentes de México con la satisfacción de haber luchado y defendido la dignidad del pueblo. Llega la primera presidenta del país Claudia Sheinbaum Pardo mujer consecuente y https://t.co/suh50j3tMe","1841203323157754195","https://pbs.twimg.com/media/GY1Ep7dXAAALldE.jpg","","es","","362","3568","4899","https://x.com/HLGatell/status/1841203323157754195","1154180084078501889","HLGatell"
"1851459805589725468","Wed Oct 30 03:03:10 +0000 2024","135","Hacienda cree que Sheinbaum debería aceptar lo que diga la SCJN sobre la reforma judicial: en una carrera para bajar el déficit el gobierno no puede afrontar los 13 mil millones de pesos que costaría la elección de jueces Ora sí que con qué dinero https://t.co/xli36H82iq","1851459805589725468","","","es","","2","4","26","https://x.com/ytzmaya/status/1851459805589725468","119065156","ytzmaya"
"1841218737698980315","Tue Oct 01 20:48:49 +0000 2024","24019","La presidente Sheinbaum insulta su investidura. https://t.co/GMCq2aBdg5","1841218737698980315","https://pbs.twimg.com/media/GY1SrqxXwAglDmr.jpg","","es","México","508","6461","5806","https://x.com/LillyTellez/status/1841218737698980315","225101516","LillyTellez"
"1841875685125636123","Thu Oct 03 16:19:18 +0000 2024","72","Inició el sexenio de la presidenta Sheinbaum. En su discurso inaugural hizo preguntas sobre los éxitos de la administración saliente Acá mis respuestas a sus 7 preguntas. Una invitación a cuidar la clave para sostener los balances fiscal y externo: crecimiento @ElFinanciero_Mx https://t.co/HPFwENIsYq","1841875685125636123","https://pbs.twimg.com/media/GY-oK-vWwAAfprb.jpg","","es","Tierra donde Dios nunca muere","2","3","33","https://x.com/Victor_Ayala/status/1841875685125636123","34213768","Victor_Ayala"
"1841172029413736470","Tue Oct 01 17:43:13 +0000 2024","4071","203 años después de la consumación de la Independencia de México. 108 años después del primer congreso feminista que pidiera el voto en Yucatán. 71 años después del voto a la mujer. Después de que 65 hombres ocuparan el Ejecutivo. Claudia Sheinbaum es la primera Presidenta de https://t.co/pq2RBwxZ3P","1841172029413736470","https://pbs.twimg.com/media/GY0oM3MW8AAXZBL.jpg","","es","Por aquí y por allá.","25","284","729","https://x.com/genarolozano/status/1841172029413736470","18607266","genarolozano"
