"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1876257350547562972","Mon Jan 06 13:19:46 +0000 2025","221","Han pasado 97 días sin reducción de la jornada laboral desde que inicio el gobierno de Sheinbaum","1876257350547562972","","","es","","0","1","58","https://x.com/cuantohapasado/status/1876257350547562972","1841864006388350978","cuantohapasado"
"1876302367576178859","Mon Jan 06 16:18:39 +0000 2025","353","🇲🇽 Sheinbaum announces Mexico will produce three affordable small electric cars designed for urban mobility. With prices ranging from $4 400 to $7 370 USD Mexico aims to enter the competitive electric vehicle market. The final designs are still under development. https://t.co/56pcuextTo","1876302367576178859","https://pbs.twimg.com/media/Ggn3DuRXIAwmS9u.jpg","","en","","17","4","68","https://x.com/resisres/status/1876302367576178859","882462674042454016","resisres"
"1875619516828545355","Sat Jan 04 19:05:14 +0000 2025","86","¿Se acuerdan de este tren que supuestamente ya llegaba al AIFA? Así de creíbles son las declaraciones de Sheinbaum. Son la secta de la mentira. https://t.co/RkUfA0xxML","1875619516828545355","https://pbs.twimg.com/media/GgeKAkma8AQpXr1.jpg","","es","Mexico","0","7","23","https://x.com/epiprod/status/1875619516828545355","17085907","epiprod"
"1876384137554399388","Mon Jan 06 21:43:34 +0000 2025","410","Pocos lo saben pero los programas sociales de AMLO casi no redujeron la pobreza porque se repartieron mal. Sheinbaum tiene un plan para corregir esto. La pregunta es si lo logrará Lo analicé con datos. El resultado sorprenderá a tirios y troyanos ⬇️ https://t.co/yqTKVVoDAm","1876384137554399388","","","es","","74","239","93","https://x.com/Viri_Rios/status/1876384137554399388","102220896","Viri_Rios"
"1876399565085266290","Mon Jan 06 22:44:52 +0000 2025","77340","nunca serás claudia sheinbaum","1876399565085266290","","","pt","","161","283","6724","https://x.com/manuflacco/status/1876399565085266290","1046564234379907073","manuflacco"
"1875633368156737914","Sat Jan 04 20:00:17 +0000 2025","45"," En camino de regreso de mi vacación veo que el diario italiano @Repubblica publica hoy el reportaje del NYT sobre un laboratorio de fentanilo en Sinaloa La propia Presidenta Sheinbaum parece le dio publicidad gratuita al reportaje: Il Messico contro il New York Times https://t.co/Dq99hwyFv2","1875633368156737914","https://pbs.twimg.com/media/GgeWmbkWwAAB3P3.jpg","","es","Washington, DC","3","2","8","https://x.com/diazbriseno/status/1875633368156737914","86240588","diazbriseno"
"1876339373215756780","Mon Jan 06 18:45:41 +0000 2025","42","¿Somos el país más democrático sobre la faz de la tierra como afirmó la presidenta #Sheinbaum? Obviamente no y en este video te cuento los resultados de nuestro artículo Mexico at the Gates of Authoritarianism recientemente publicado por el @JoDemocracy https://t.co/E4lso1LbFQ https://t.co/83EI8i0NZd","1876339373215756780","https://pbs.twimg.com/amplify_video_thumb/1876338816388153344/img/tEZmX317YQiYOyoe.jpg","","es","Mexico","2","3","17","https://x.com/azulaguiar/status/1876339373215756780","112708312","azulaguiar"
"1875504007890006113","Sat Jan 04 11:26:15 +0000 2025","54","Sin Shein en México Claudia Sheinbaum solo será Claudia Baum.","1875504007890006113","","","es","NACION ARIA","4","7","15","https://x.com/BALDAEG_/status/1875504007890006113","1799580924599734272","BALDAEG_"
"1876283761849241885","Mon Jan 06 15:04:43 +0000 2025","86","Así la aprobación de la presidenta Claudia Sheinbaum en sus primeros 100 días de Gobierno. El 78% aprueba su trabajo Tengan para que aprendan https://t.co/Rl9jGx7G0d","1876283761849241885","https://pbs.twimg.com/media/GgnmIyiXgAAXF43.jpg","","es","","1","8","28","https://x.com/tania__rd/status/1876283761849241885","1191491101280092162","tania__rd"
"1876277025494962226","Mon Jan 06 14:37:57 +0000 2025","29","https://t.co/lBvZOp3Ylr https://t.co/vDM7JnBbfI","1876277025494962226","https://pbs.twimg.com/media/Ggnf_poaYAI368S.jpg","","zxx","Ciudad de México","0","0","10","https://x.com/PPmerino/status/1876277025494962226","18430394","PPmerino"
"1876253105135951969","Mon Jan 06 13:02:54 +0000 2025","1922","En general ¿apruebas o desapruebas el trabajo de nuestra Presidenta Claudia Sheinbaum? A= Apruebo B= Desapruebo C= No sé https://t.co/dq7DNEX5uZ","1876253105135951969","https://pbs.twimg.com/media/GgnKQQPW8AAM_3t.jpg","","es","México","74","2342","454","https://x.com/guruchuirer/status/1876253105135951969","545061074","guruchuirer"
"1876308091337425376","Mon Jan 06 16:41:23 +0000 2025","411","🇲🇽🇻🇪 México enviará a un representante a la asunción de Maduro Claudia Sheinbaum recordó que la política del Gobierno mexicano se basa en la autodeterminación de los pueblos y por tanto en el caso de Venezuela irá un representante a la toma de protesta . https://t.co/qIekJBcfqz","1876308091337425376","https://pbs.twimg.com/ext_tw_video_thumb/1876308021426417664/pu/img/e-wfzzJz6xuWxVkW.jpg","","es","","1","10","203","https://x.com/rt_latam/status/1876308091337425376","1841845375038046208","rt_latam"
"1876282994794844435","Mon Jan 06 15:01:40 +0000 2025","28","#EncuestaEF Va la presidenta @Claudiashein a sus primeros 100 días con 78% de aprobación ciudadana. Subió 9 puntos en diciembre. Aquí la encuesta completa: https://t.co/Ys17bwR4yg https://t.co/XetYNCFa0k","1876282994794844435","https://pbs.twimg.com/media/GgnlcHjbMAEZGuG.jpg","","es","Mexico","3","1","19","https://x.com/almorenoal/status/1876282994794844435","946901479","almorenoal"
